title,artist,like_cnt,lyrics,release_date
너가보고싶을때,이성준,7,"너가 보고싶을때
난 어떡해야돼
잡아 내 손 어때
아님 전화할게

Do you feel the same
네 생각은 어때
너도 같은 마음일진 몰라도
일단 보내

걍 있다고
어딨냐고
같이 있자고

너가 보고싶은데

시간 없다고
못봤다고
바쁘다고
너가 보고싶은데

우리 이제 손 잡을것 같애
우리 엄마 손자볼것 같애
그냥 있어도 보고 싶고 막 그래
별 얘기는 안해도 되는데

니가 말한 영화 재밌던데
사실 안봤는데
어떻게든 싹 다 아는척 해
모르겠을 땐 검색도 했어

옆반 걔 누군데
니 이름 부르고 성도 빼
잘생겼긴 한데
나만큼 착하진 않을것 같애

재수없네 쟤
이름을 올렸어 내 경계대상에
나도 사줄게 매점에서 투게더

너가 보고싶을때
난 어떡해야돼
Do you feel the same
너도 같은 마음일진 몰라도
일단 보내

너가 보고싶을때
난 어떡해야돼
잡아 내 손 어때
아님 전화할게

Do you feel same
네 생각은 어때
너도 같은 마음일진 몰라도
일단 보내

걍 있다고
어딨냐고
같이 있자고

너가 보고싶은데

시간 없다고
못봤다고
바쁘다고

너가 보고싶은데",2024.10.23
Simple Love Melody,Van Corso (반코르소),9,"Soft whispers in the night
We hold each other tight
Moonlight in your eyes
서로에 기댄 밤

Dancing in the rain
No worries no more pain
Your heartbeat syncs with mine
Perfect rhythm every time

Hold me close don't let go
No matter what you do
Simple Love Melody
Is all we'll ever need

Sunrise paints the sky
With colors that won't lie
Hand in hand we stand
Love written on the sand

Through all our ups and down
We'll turn those frowns around
Hear the music play
We'll never fade away

Hold me close don't let go
No matter what you do
Simple Love Melody
Is all we'll ever need

Hold me close don't let go
No matter what you do
Simple Love Melody
Is all we'll ever need

Dancing in the rain
No worries no more pain
Your heartbeat syncs with mine
Perfect rhythm every time",2024.10.23
필요해 (Feat. Yellon),INDOW,9,"쌓여진 종이
그 사이 거울에
비친 내 모습에
언제 이리
시간이 지났었나?
마음이 키보드
사라진 alt, tab 같이
텅 빈 네모난 버튼 같아

everyday 반복
느낌 게임 속 캐릭 같이
똑같은 시나리오
패턴 같지
game over 언제 하지?
새로운 도전이
항상 불안한지
언제인지 기억은 나질 않지

짧게 느껴 졌던
시간들이 점점 지루해져 가
아무것도 안한거 같아 so bad

필요해
언제든 내가 힘을 낼 수 있게
잠깐에 힐링이
필요 했어 난
나 이렇게
지루함만 가득했던 하루에
내 기분은 떨어져만 가


필요하다면 인생네 컷 몇번 이든 바로 찍어
우릴 담는 모든 순간 매번
쌓여 가는 갤러리는 over

더는 참기 싫은 내 맘 이젠 바로 기절
슝 하고 날아 갈게
대충 걸쳐도 너는 그냥 이뻐

널 갖고 싶은데
그럼 뭐가 필요한지 모르겠어
적당한 거리두기는
저기 있는 Trash can ,bye bye

어쩌면
같은 맘일지도
모른다는 착각
속에 또 난 눈을 감아

필요해
언제든 내가 힘을 낼 수 있게
잠깐에 힐링이
필요 했어 난
나 이렇게
지루함만 가득했던 하루에
내 기분은 떨어져만 가

필요해
언제든 내가 힘을 낼 수 있게
잠깐에 힐링이
필요 했어 난
나 이렇게
지루함만 가득했던 하루에
내 기분은 떨어져만 가",2024.10.23
My Style,옐파크,2,"누가 내게 뭐래도
괜찮은데 어때서 Why
I pay I can do 근데
That’s my way
Oh well don’t worry

My style My style
My style My style
My style My style

I don’t care 나 알고 싶지 않아
세상엔 So many taste thing good
잊혀지고는 싶지 않아
맛볼게 Now see that
Precious

Oh I believe
Did I ask you a question?
You can’t even answer
Escape to reality (얼레리)
Let go Let go
You can’t even answer baby

이미 벌어졌던 일 마주보고 싶진 않지
내일 아니니 I don’t care
마치 너처럼 Blah Blah Blah
가십거리 하나 안겨줬으니
너 하고 싶은 대로 살아 그렇지
태연하게 하던 것처럼
자연스럽게
(My style My style
My style My style
My style My style)",2024.10.23
Princess of moonlight,레베로프,0,"Ive been fallin in love lately
I really Dont know what to do
What they do just seem so easy
But when it comes around
“tell me what to do”

It Was so hard to fill up myself
I Couldn’t keep it to myself
But when I feel alone and I think about you
I’d rather hold you tight and be on you

I can see the stars sing with the moonlight
I can feel the mood i know what you know
I can show you love underneath the silence
All you gotta do is just holding on me tight

I’ve been falling in love lately
Now I know what should I do
Everything makes me so happy
When you come around ah girl i feel good

Same days same vibes every thing was a mess
So many struggles until i Fall in love
Dont care about a thing but only ya
And I know all I want is you
I want i want you all my love
Ill rather hold you tight and be on you

I can see the stars sing with the moonlight
I can feel the mood i know what you know
I can show you love underneath the silence
All you gotta do is just holding on me tight

I can see the stars sing with the moonlight
I can feel the mood i know what you know
I can show you love underneath the silence
All you gotta do is just holding on me tight
sing with the moonlight
I can feel the mood i know what you know
I can show you love underneath the silence
All I gotta do’s just holding on you tight",2024.10.23
Dawn With The Stars,KITO,7,"When I’m in love
It’s not me
내 마음이 너로
가득 한걸 어떡해
Like a shining stars
Beautiful my girl
Can you feel my love?
오랫동안 멀리서 걷던
너를 놓칠 수가 없어서
Like a shining stars

솔직하게 너와 나 둘 사이에
더 이상의 가사는 무의미해
알고 있잖아 너도
그걸 왜 몰라 바보같이
왜 이러는지 모르겠어?
혹시 겁이 나서
너무 멀리 가서
너도 널 몰라서
그래서 그래?
아니면 뭔데
Baby stay
where you are

Am I nothing anymore
without you girl
아무 말도 없이
웃음 짓지 마
Baby I wanna sleep
in your arms

When I’m in love
It’s not me
내 마음이 너로
가득 한걸 어떡해
Like a shining stars
Beautiful my girl
Can you feel my love?
오랫동안 멀리서 걷던
너를 놓칠 수가 없어서
Like a shining stars",2024.10.23
작별 (Prod. OBSN),하츠 (hartts),161,"숱한 감정들을 가득 안고서
집이 아닌 어딘가로 흘러가고 있는 걸까 난
여우야 난 너의 말을 손에 쥐고서
삶이 아닌 어딘가로 돌아가고 싶은지
아무도 듣지 않는 노래를 부르네

Good bye
Good bye
끝내 하지 못 한
고집 뿐인 사람
Good bye
Good bye
그 말 그 말 그 말

높이 떴던 해가 지평선에 접어들고서야
조심스레 용기 내서 편지를 써보려 하지만
난 너에게
그 어떤 것도
전한적이 없나
넌 관심 없었나
고스란히 비어 있는 종잇장이
내게 귀 기울여 주기를 기다리네

Good bye
Good bye
끝내 하지 못 한
고집 뿐인 사람
Good bye
Good bye
그 말 그 말 그 말
전하고 싶어",2024.10.22
Much,Agenda,38,"i didn't have to love too (much)
i did not wanna fall too (much)
but you still gonna come thru?
i wish you go and get through

you should call me no other
i feel it when you whisper
네가 원하는 거 다 알아
나를 보면 잠이 다 달아나

어디로 가든지 너 함께 있을거라고 말했었잖아
the way you miss me, like a total trouble, causing in my mind

날이 세워진 느낌
처음엔 알 수 없었던 너의 마음
boy you made me so special
i don't wanna waste time
확실하게 말할래

숨겨왔던 나의
모르는 척 해도
알 수 밖에 없던 나의 fantasy
우리 둘만의 약속
아무렇지 않게

lets go and get some love
lets go and get some love
much love

you should call me no other
i feel it when you stutter
우리 사이는 왠지
이름을 알 수 없어 겁이 나

좋아한다는 말로도 부족할 거라고 말했었잖아
(boy you are special)
이상하리만큼 너 내게 빠졌었다고 그랬었잖아

날이 세워진 느낌
처음엔 알 수 없었던 너의 마음
boy you made me so special
i don't wanna waste time
확실하게 말할래

숨겨왔던 나의
모르는 척 해도
알 수 밖에 없던 나의 fantasy
우리 둘만의 약속
아무렇지 않게

lets go and get some love
lets go and get some love
much love",2024.10.22
SWIMMING,ROYDO,28,"네 눈은 깊고 위험한 Ocean
경고판이 왜 없어
가늠이 안가 무서워
근데 난 가고있어

아무것도 모른단 너의 표정
모험심을 자극 하는 넌 원피스일거야

I can’t stop swimming swimming swimming swimming
네 깊은 맘에 swimming swimming swimming swimming
못하는데도
swimming swimming swimming swimming my darling
허우적대는 날
웃으며 바라봐 넌

숨을 참아 1 2 3 4 5 6 7 나를 봐
맥주병인 내가 널 위해 노력을 하잖아
위험 위험 위험 위험해
난 1 2 3 4 5 6 턱 끝까지 왔잖아

늪처럼 점점 더 빠져가
구명조끼는 무용지물이야
내 친구 말했지 “get out of there, out of there”

알면서도 들어가
난 바보가 되었나봐
홀려버린 내 두 눈
I’m over

I can’t stop swimming swimming swimming swimming
네 깊은 맘에 swimming swimming swimming swimming
못하는데도
swimming swimming swimming swimming my darling
허우적대는 날
웃으며 바라봐 넌

숨을 참아 1 2 3 4 5 6 7 나를 봐
맥주병인 내가 널 위해 노력을 하잖아
위험 위험 위험 위험해
난 1 2 3 4 5 6 턱 끝까지 왔잖아",2024.10.22
오늘 또 하루가 지나고 (feat. 현서 (HYUN SEO)),이민석,238,"오늘 또 하루가 지나고
어김없이 무너져가도
금방 괜찮아질 거야 걱정 마

말라가는 마음들은 다
떨어지는 낙엽의 시샘이야
저 봄이 올 때쯤
라일락처럼 피자

그럴 때 있잖아
전부 다 놓아 버릴까
하며 날 미워하던 밤
내일이 없길 바랬어

허물어져가는 나의 마음에
아린 바닷물이 스며들고
숨이 턱 끝까지 차 올랐어도

‘정말 하루만 더 버티면 나아질 거야’
‘하루만 견디자, 될 거야‘
수백에, 수천의 반복
속에 모두 다 비워 냈어

여전히 마음은 건조하지만,
또 분명히 아플 거지만
그러려니 해 이젠
파도에도 쓸려가지 않아

오늘 또 하루가 지나고
어김없이 무너져가도
금방 괜찮아질 거야 걱정 마

말라가는 마음들은 다
떨어지는 낙엽의 시샘이야
저 봄이 올 때쯤
라일락처럼 피자

요즘 세상살이 많이 녹록치가 않아
할 일들은 내 어깨의 짐만큼 쌓여가
하루빨리 나는 달려야 해
감정 따위 버린지 오래 됐어

마음 편히 웃은 적이 언제였지
기억도 안나
내 가족, 친구, 동생들까지
다 챙겨야 해
멀었어
이제는 무덤덤해진 나의 모습을 보면
어딘가 슬퍼서

괜찮아 전부 지나갈 거야
이 아픔들은 다 성장통이야
어른이 된 것처럼
또 현실이라는 가시밭길을 걸어
좀 멍하니 지내고 있어 난
꿈 속에 나와 나를 위로해줘
당신이 지칠 때면
i'll be there for you

오늘 또 하루가 지나고
어김없이 무너져가도
금방 괜찮아질 거야 걱정 마

말라가는 마음들은 다
떨어지는 낙엽의 시샘이야
저 봄이 올 때쯤
라일락처럼 피자",2024.10.22
Twosome (With Tom Gray),DOF,14,"I looked around me as you pass by
Don't wanna tell you that you've caught my eye
Should've been the one to tell you
You're beautiful coz it's that true
Instead I'm just a stranger in your sight oh why

Wish that you were here beside me planning
A trip to somewhere far and then we'll smile and
I'll give you everything this world could offer babe

I'm dreaming on this coffee shop til
I'm slurring all my speech because you
Started to ask me if you can sit beside

Oh woah woah
It's very funny
Oh woah woah woah
Crazy

I didn't know you were heading here
Guess the heaven's are telling me bout something
It's my turn to make a move babe

I asked you bout the weather and told me
That the rainy clouds are your favorite
Beating of my heart intensifies
It's you that my mind really desires
And then we talked for hours on end oh yeah

Wish that you were here beside me planning
A trip to somewhere far and then we'll smile and
I'll give you everything this world could offer babe

I'm dreaming on this coffee shop til
I'm slurring all my speech because you
Started to ask me if you can sit beside

Oh woah woah
It's very funny
Oh woah woah woah
Crazy

I didn't know you were heading here
Guess the heaven's are telling me bout something
It's my turn to make a move babe

So am I still dreaming? Have you passed by?
What's this feeling I just can't deny
So can someone slap me, is this real life?

Oh yeah yeah yeah

So am I still dreaming? you're a stranger?
But why are you touching my hand here
Girl, I need to know the answer now

Wish that you were here beside me planning
A trip to somewhere far and then we'll smile and
I'll give you everything this world could offer babe

I'm dreaming on this coffee shop til
I'm slurring all my speech because you
Started to ask me if you can sit beside

Oh woah woah
It's very funny
Oh woah woah woah
Crazy

I didn't know you were heading here
Guess the heaven's are telling me bout something
It's my turn to make a move babe",2024.10.22
Our Colors,지제이 (Z.J),41,"우리의 색은 무언가
하나의 빛깔이 아닌 것 같아
투명한 보랏빛
사랑을 가져다줘요

널 만나기 전 세상은
차가운 흑백이었지만
낯설 만큼 선명해지는 너라는 안경
천 가지의 색이 존재하는 걸 보면

널 보면 파스텔톤의 느낌이 나
아무도 모르는 느낌의 컬러
종이 위에 널 그리면
하트 모양 끄적일 것 같아
나는 무슨 색깔인 걸까
봄 여름 그 사이


우리의 색은 어딘가
지구의 바깥에 있는 것 같아
투명한 유리잔 속
사랑을 담아줘요

널 만나기 전 세상은
차가운 흑백이었지만
낯설 만큼 선명해지는 너라는 안경

널 보면 파스텔톤의 느낌이 나
아무도 모르는 느낌의 컬러
종이 위에 널 그리면
하트 모양 끄적일 것 같아

내 마음은 온통 너만의 빛깔
끝이 없는 우리 시간의 색깔
하루 종일 네 품에 안기면
이 지구에 박혀있는 듯해

나는 무슨 색일 것 같아
봄 여름 그 사이

우리의 색은 무언가",2024.10.22
NEPTUNE! (Feat. Meego),Jin.K,36,"Darling, There is noting but It’s snow
I like watching you get (low)
Smiling, (It) always makes me going up
I won’t wake up tomorrow

아득하게 멀어졌네 자국을 남긴 거리
먹먹하게 덮혀졌네 잠긴 목소리
생각없이 품에 잠긴 채 춤을 추기
얼어있던 목소리를 녹여 천천히

Please stay with me
How can I think so simple
You’re not like anyone

Please stay with me
닿지않는 거리에서
습관이 돼버린 기도

It’s alright
Making our time
With the sunshine
Silence is always so glowing
So come inside
With your bright eyes
such a moon light
You’re the one shine my darkness

How can I think so simple
나는 너가 참 미워
It wasn’t fault for anyone
Sometimes, I‘m lost in my mind
How many tears drop
‘Cause I’m on your side
every moment

Please stay with me
How can I think so simple
You’re not like anyone

Please stay with me
닿지않는 거리에서
습관이 돼버린 기도",2024.10.22
Don't deny me (Prod.CLOD),Subok,17,"We resonate together
Come take my hand
We can build our universe

Your heart is mine, my heart is yours
We're sharing same blood
But you cut me out
You cut me out

And You control my body
With your finger tip
You can Shake my universe

And You ignite me
I'm on fire
And You burned me down
You burned me down
You burned me down
You burned me down

This is how I treat you
This is how I love you

Don't deny me
Don't you dare deny me

This is how you treat me
This is how you leave me

You tear me down
You destroyed me down

You can find me everywhere
Why can't you see me anywhere

You can find me everywhere
Why can't you see me anywhere


Don't deny me
Don't you dare deny me

Don't deny me
Don't you dare deny me


This is how I treat you
This is how I love you

Don't deny me
Don't you dare deny me

This is how you treat me
This is how you leave me

You tear me down
You destroyed me down

All the promises we made by the river
Starring at the sunset we drew our future

It was all play pretend

You were the big tree I could always lean on
More than a thousand days you showed me your devotion

It was all play pretend

This is how I treat you
This is how I love you

Don't deny me
Don't you dare deny me

This is how you treat me
This is how you leave me

You tear me down
You destroyed me down

Don't deny me
Don't deny me
Don't you dare Don't you dare deny me

Don't deny me
Don't you dare Don't you dare deny me
Don't deny me

Don't deny me
Don't you dare deny me

Don't deny me
Don't you dare deny me",2024.10.22
Basement,계율이 (YUuL),16,"어질러진 이 basement
소파엔 니가 취해있어
무너져버린 Makeup과
책임전가해 매일 넌
비었다 해 텅
기억 속에서
비웠다 해 널
치웠다 해 덜
아직 멀었어 이 지하 속에선
Boy you’re my euphoria
so do not fall apart babe
어질러진 이 basement
소파엔 니가 취해있어
무너져버린 Makeup과
책임전가해 매일 넌

사실은 널 잊지 않게
암데도 안 가 Even party
그때의 너가 싫어한 my habbit
이제서야 안해
내 머리 속엔 지금
마지막 그때의 너의 집에,
자꾸 떠오르는 이미지
어질러진 이 basement
소파엔 니가 취해있어
무너져버린 Makeup과
책임전가해 매일 넌",2024.10.22
Anxious,HUGO,4,"밤이 지나 온종일 깊은 생각만
이 밤이 지나면 아무 걱정도 없이 살면 좋을텐데

맘이 아파 무너졌다면
그저 나에게 기대도 돼

하루종일 네 생각에
내 방은 아직 어둡지
생각이 너무 많아서 잠이 오질 않아

이제 시간은 빠르게 흘러가는데
난 아직까지 해내야할게 너무 많네

그만. 네 탓이 아니야
너의 소설의 한 쪽일 텐데

You should be alright
I'll put you to sleep at night

서서히 밝아지는 아침

네 덕분에 슬픔의 조각들이
하나둘씩 흩어져

But what should I do?
아무것도 할 수 없는걸
서서히 어두워지는 방이

난 과연 쓸모 있는 사람일까

살아있는 느낌
정말 필요할땐 풀 숲에 누워 하늘을 보곤 해

이 세상이 날 싫어 하는 것 같아도
여전히

이제 시간은 빠르게 흘러가는데
난 아직까지 해내야할게 너무 많네

그만. 네 탓이 아니야
너의 소설의 한 쪽일 텐데

You should be alright
I'll put you to sleep at night.

서서히 밝아지는 아침

네 덕분에 슬픔의 조각들이
하나둘씩 흩어져

But what should I do?
아무것도 할 수 없는걸

서서히 어두워지는 방이

네 덕분에 슬픔의 조각들이
하나둘씩 흩어져",2024.10.22
You’re Always In My Heart,황지영 (Jiyoung Hwang),7,"그대와 함께 걷는 이 길 위에
새겨진 우리의 추억들
설렘이 가득했던 너의 미소에
나도 몰래 웃음이 새어나와

네게 숨겨왔던 나의 마음을
이젠 말할게 오직 그대를 위해

You’re Always In My Heart
조용히 내 품에 안겨
꿈같은 이 순간이 끝나지 않기를
You’re Always In My Heart
아름다운 시간 속에
써내린 동화처럼 영원하기를

그대와 함께 걷는 이 길위에
새겨진 우리의 추억들
귓가에 속삭이던 네 목소리에
그댈 향한 내 맘 더 커져만 가

네게 숨겨왔던 나의 마음을
이젠 말할게 오직 그대를 위해

You’re Always In My Heart
조용히 내 품에 안겨
꿈같은 이 순간이 끝나지 않기를
You’re Always In My Heart
아름다운 시간 속에
써내린 동화처럼 영원하기를

함께 웃고 함께 울며 쌓여가는 시간들
너와 써 내려갈 끝없는 이야기
한없이 커져가는 맘 이제 너에게 전할게
너와 나의 이 시간들이 영원할 수 있게

You’re Always In My Heart
조용히 내 품에 안겨
꿈같은 이 순간이 끝나지 않기를
You’re Always In My Heart
아름다운 시간 속에
써내린 동화처럼 영원하기를

You’re Always In My Heart
조용히 내 품에 안겨
꿈같은 이 순간이 끝나지 않기를
You’re Always In My Heart
아름다운 시간 속에
써내린 동화처럼 영원하기를",2024.10.22
추억은,Millez,8,"떠나간 사람들 모두 잊혀지고 싶어 하지 않아
지나간 인연들 그렇게 쉽게 잊어가고 싶지 않아

네게 받은 찬란한 세상이 여전히
내 맘에 가득 남아있으니
다른 하루를 살았던 우리들의 만남이
축복이라 느끼는 거야

널 떠올리는 시간이
짧아져 가겠지만
지난 우리가 그랬듯이
We're gonna meet someone anywhere,
Get hurt, and love them babe

떠나간 사람들 모두 잊혀지고 싶어 하지 않아
지나간 인연들 그렇게 쉽게 잊어가고 싶지 않아

추억은 떠나간 이들의 발자국
깊어진 듯 내게 남겨도
어느새 또 옅어지더라
추억은 아픔 사이에 숨어서
무뎌진 듯하다가도 내게 찾아와

널 떠올리는 시간이
짧아져 가겠지만
지난 우리가 그랬듯이
We're gonna meet someone anywhere,
Get hurt, and love them babe

떠나간 사람들 모두 잊혀지고 싶어 하지 않아
지나간 인연들 그렇게 쉽게 잊어가고 싶지 않아

추억은 떠나간 이들의 발자국
깊어진 듯 내게 남겨도
어느새 또 옅어지더라
추억은 아픔 사이에 숨어서
무뎌진 듯하다가도 내게 찾아와",2024.10.22
Outside (Feat. 민영),Oho!,8,"Outside Outside
I’ve been lowkey
Outside outside
Outside outside
So hit me up outside
Outside Outsdie
I’ve been lowkey
Outside outside
So hit me up outside


날 메우던 어둠도
날 채우던 소음도
이제 그만 벗어나고 싶어서
괜히 잘 지내는 척해
아니 잘 지내지 못해
이런 날 찾아주기를

의미 없는 날들
반복되는 일상
매일 입던 옷은
왠지 어색해지고
내가 먼저 불러 볼까
했던 고민들도 이젠 안할래


Outside Outside
I’ve been lowkey
Outside outside
Outside outside
So hit me up outside
Outside Outsdie
I’ve been lowkey
Outside outside
So hit me up outside


Take me
Bring me
Anywhere
빼어내줘 날
이 어둠 속에서
Take me
Bring me
To anywhere I don’t care about
I ain’t got time


길었던 너의 하루들
그 일상속에서 날 찾아와줘
스쳐 지나간 사람들
그 인연 속에서 날 기억해줘


Outside Outside
I’ve been lowkey
Outside outside
Outside outside
So hit me up outside
Outside Outsdie
I’ve been lowkey
Outside outside
So hit me up outside",2024.10.22
월루 (月淚) (feat. 수연이),하웅 (Hawoong),208,"이루지 못할 우리란 꿈
내가 다시 꼭 찾아낼게
주저하지 말고 걸어봐
내가 너의 빛이 돼줄게
Where you go baby
어디든 따라가
멀지 않은 곳에 있어 곧 찾을 거야
턱 끝까지 차올라도 괜찮아
내가 너를 꼭 찾아낼게

완벽한 건 없잖아 from 1 to 10
이곳에 정답은 없어 맞서면 돼
사랑에 미리보기는 없잖아
그래서 아름답고 잔인하잖아
Where’s the better life?
그래 네가 없다면 난
Right I’m down I’m down 뻔해 다
변치 말자 약속했던 그때 우리로 돌아가자
낭떠러지라도 좋아 결국 그 뒤는 또 무의미할 테니까

이루지 못할 우리란 꿈
내가 다시 꼭 찾아낼게
주저하지 말고 걸어봐
내가 너의 빛이 돼줄게
Where you go baby
어디든 따라가
멀지 않은 곳에 있어 곧 찾을 거야
턱 끝까지 차올라도 괜찮아
내가 너를 꼭 찾아낼게

Baby 내가 알던 넌 어딨어 Where you at?
하루 종일 밤을 새워 널 찾을게
아무렇지 않은 척해봐도
우리 사이는 불안하지만
너를 믿는 거지
끝까지 와버렸다고 생각하지만
아직
처음이 더 가까운 거야
어두워져 가는 밤을 보고 있으면
네가 천천히 떠올라 yeh

이루지 못할 우리란 꿈
내가 다시 꼭 찾아낼게
주저하지 말고 걸어봐
내가 너의 빛이 돼줄게
Where you go baby
어디든 따라가
멀지 않은 곳에 있어 곧 찾을 거야
턱 끝까지 차올라도 괜찮아
내가 너를 꼭 찾아낼게

변치 말자 약속했던 그때 우리로 돌아가자
낭떠러지라도 좋아 그 뒤는 결국 또 무의미할 테니까
변치 말자 약속했던 그때 우리로 돌아가자
낭떠러지라도 좋아 그 뒤는 결국 또 무의미할 테니까",2024.10.21
No More Cupid,NIKA,53,"Like destiny 사로잡힌 것 같이
헷갈리게 될거야 devil’s sign
잠겨버린 꺼낼 수 없던 내 맘이
타버릴거야 stay away from my heart

어린아이 같은 맘이
완벽한 사랑이
(벗어나 어두운 곳에 갇힌
Little cupid I’m gonna break it)
자라날 것 같아도
아직은 다 그대로
으음 너만 알 수 있게

Eventhough I pray for my flowers
다 시들어
겁먹었단 말 한다면 나는 널 집어삼켜
화살 겨눈 짧은 틈 사이에 봐봐 난 이미 없어
No more blame on my love
그게 다야 that’s my love

깨진 듯이 불안해 안해도 돼
다쳐봐 줍는게 더 맘 편해
두 길 사이
선택은 혼자 해야만 해
용기의 댓가로 heaven or pain

어린아이 같은 맘이
완벽한 사랑이
(도망가 꿈꾼것만 같이
I’m a fighter you might lose it)
아마 널 망쳐놓고
헤쳐나와 토네이도
그땐 아무것도 할 수 없게 돼

Eventhough I pray for my flowers
다 시들어
겁먹었단 말 한다면 나는 널 집어삼켜
화살 겨눈 짧은 틈 사이에 봐봐 난 이미 없어
No more blame on my love
그게 다야 that’s my love

벗어나 어두운 곳에 갇힌
Little cupid I’m gonna break it
도망가 꿈꾼것만 같이
I’m a fighter you might lose it",2024.10.21
What you say?,Lov2,18,"널 정말 사랑하나 봐
내 옆에 사라지지 말아 줘
널 정말 사랑하니까
제발 날 떠나가지 말아 줘

Rainy day엔 입맞춤이 cigarette
날 대신해줄 friend, alcohol로 위안해
이젠 없어도 돼 널 떠나 미안해
내가 널 사랑하는 마음 변치 않게
What u say? U N I just friend?
I don't know but I know 숨겨야 돼
What u say? 좋다고 말해줄래?
1:am 그렇게 네 입술이 말해

친하게는 못 지내겠어
내 맘이 헷갈리게 됐어
그러다가 내가 네게 봐
못할 짓만 하게 될걸
괜히 숨기려 했고
널 더 헷갈리게 만들었어
날 두고 간다 네 말에
날 두고 가면 어떻게 가
너 없인 아무것도 못하겠던데
Late at night 혼자 널 못 보내겠던데
근데 넌 나를 밀어대 실수해도 돼 나한텐
이제 네 마음을 알고 됐어 말할 때

나 널 정말 사랑하나 봐
내 옆에 사라지지 말아 줘
널 정말 사랑하니까
제발 날 떠나가지 말아 줘

Rainy day엔 입맞춤이 cigarette
날 대신해줄 friend, alcohol로 위안해
이젠 없어도 돼 널 떠나 미안해
내가 널 사랑하는 마음 변치 않게
What u say? U N I just friend?
I don't know but I know 숨겨야 돼
What u say? 좋다고 말해줄래?
1:am 그렇게 네 입술이 말해

What u say? U N I just friend?
I don't know but I know 숨겨야 돼
What u say? 좋다고 말해줄래?
1:am 그렇게 네 입술이 말해",2024.10.21
Snooze,현승,22,"Can't wake up
왜 아침에 꿈을 느껴
Border of dream, Border of real
사실 모르겠어, Where am I
깊은 선잠 자듯이 잠들자
I'll fall into snooze
Baby, 점점 흐려지는 눈앞에
일렁이는 저 불빛이 보여
선명해져가는 Memory 속
시간은 역시 흐르고 있고
I think it's still morning
잠에서 깬 지 몇 시간째
walking around and around
Oh, I think I dream in a day
어둠 속 흔들리는 그림자 속에서 길 잃은 나를 보았어
Can't wake up
왜 아침에 꿈을 느껴
Border of dream, Border of real
사실 모르겠어, Where am I
깊은 선잠 자듯이 잠들자
I fall into snooze
Baby, 점점 하얘지는 눈앞에
일그러진 내 모습이 보여
불투명해지는 나의 Color가
정신을 차릴 수 없이 어지러워
I think it's still forenoon
잠들지 못한 채 몇 시간째
Still toss Oh
Oh, I think I dreaming in a day
어둠 속 흔들리는 그림자 속에서 길 잃은 나를
환상을 보고 있는 것만 같아
I can't know what is real
Can't wake up
왜 아침에 꿈을 느껴
Border of dream Border of real
사실 모르겠어, Where am I
깊은 선잠 자듯이 잠들자
I' fall into snooze",2024.10.21
Replay,16,67,"Sounds about right
Maybe I was never meant to be your side
Yeah you know at least I tried to
Had to change my life too
Don’t know what I was oh wah

Did you ever think about what I did just for you
You know what I’m going through
As you walked away
Away just like that
There will be no part 2s and no more agains

It’s right for me to tell you bye
Decided to live my own life
But why does my heart feel so wrong

Why the hell do I still see your
Face all night
Girl I’m on replay, all night
Listening to the songs you liked
I hate to regret
But I’m playing all of you on replay

Should’ve let you lean on my shoulders
When you said you need something to hold on
Give me a break
I know I’m getting confused and I’m dazed
Made a slip of my tongue and I just can’t say it’s all my bad

I said every time you cry I lose my mind
But you looking so dry this time I lost my whole damn life
Bae hold on just for a minute
Need some time, I need you to move on

It’s right for me to tell you bye
Decided to live my own life
But why does my heart feel so wrong

Why the hell do I still see your
Face all night
Girl I’m on replay, all night
Listening to the songs you liked
I hate to regret

Why the hell do I still see your
Face all night
Girl I’m on replay, all night
Listening to the songs you liked
I hate to regret
But I’m playing all of you on replay",2024.10.21
EASY (Feat. IV),MIND ROOM (마인드룸),3,"go easy go easy
what a feeling! so good

남은 날들이 무겁게 느껴진다 해도
이겨낸다기보다는 그 위에 올라 누워 있을래
매일 똑같은 하루는 왜 복잡한 건지
빨리 간다고 해도 빨려 간다고 해도 모두 똑같잖아

go easy go easy
what a feeling! so good
go easy go easy
what a feeling! so good

꽃가루가 날린 맑은 하늘 아래
망원경으로 봤던 나의 장밋빛 미래
어느새 그곳에 도착하고 보니
날 기다리고 있던 건 장미의 날카로운 가시
현실 앞에 차게 식은 꿈 다음엔 물음표
혹시 하는 맘에 주윌 서성이다 도돌이표
이만하면 됐다고 말하면 편해질까?
그만하고 딴 거 하면 바라던 걸 찾을까
숱한 고민 끝에 바뀌는 건 없었고
결정보다 내 걸음은 항상 앞에 있었어
내 선택은 결국 너의 손을 잡고 걸었던 길
더뎠어도 해냈었던 확신의 Will
사랑하는 친구들과 chillin’하며 넋두리
가족들의 지지 더할 나위 없는 삶이지
흘러가는 대로 나를 free falling
그 끝에 뭐가 있더라도 틀림없지

매일 똑같은 하루는 왜 어려운 건지
빨리 간다고 해도 빨려 간다고 해도 모두 똑같잖아

자유롭게 살 수 있다면
그걸로도 충분하니까

go easy go easy
what a feeling! so good
go easy go easy
what a feeling! so good",2024.10.21
